Breed,height_low_inches,height_high_inches,weight_low_lbs,weight_high_lbs,weight_avg,size
Tibetan Terrier,14,17,20,30,25,small
Toy Fox Terrier,10,10,4,7,5.5,mini
Vizsla,48,66,22,25,23.5,small
Weimaraner,25,27,70,85,77.5,large
Welsh Springer Spaniel,16,19,35,45,40,medium
Welsh Terrier,15,15,20,21,20.5,small
West Highland White Terrier,11,11,13,15,14,mini
Whippet,18,22,27,30,28.5,small
Wirehaired Pointing Griffon,20,24,45,60,52.5,medium
Yorkshire Terrier,8,8,3,7,5,mini
Pit Bull,,,,,,medium
Jack Russell Terrier,,,,,,small
Catahoula,,,,,,large
Staffordshire,,,,,,small
